loss,pearsonR,val_loss,val_pearsonR,lr
0.8764045834541321,0.2414921224117279,0.7852693796157837,0.3179706931114197,0.0005
0.6645053029060364,0.34842756390571594,0.6894401907920837,0.38997530937194824,0.0005
0.5942685604095459,0.3948476314544678,0.6589743494987488,0.413120836019516,0.0005
0.5600039958953857,0.4117553234100342,0.6555763483047485,0.41316282749176025,0.0005
0.5154733061790466,0.42699775099754333,0.6221088767051697,0.4109463095664978,0.0005
0.461081326007843,0.4498788118362427,0.6337452530860901,0.4563063085079193,0.0005
0.42302221059799194,0.4640566408634186,0.6527490019798279,0.45757144689559937,0.0005
0.3830314576625824,0.4767192304134369,0.6144475936889648,0.46424928307533264,0.0005
0.35395321249961853,0.48548007011413574,0.6419205665588379,0.47373002767562866,0.0005
0.32452598214149475,0.4929625689983368,0.6494422554969788,0.4312666356563568,0.0005
0.2972845733165741,0.5022624135017395,0.6463977098464966,0.47049278020858765,0.0005
0.27516934275627136,0.5096596479415894,0.6568191647529602,0.45503076910972595,0.0005
0.2541031241416931,0.5166329145431519,0.6614185571670532,0.4776301980018616,0.0005
0.24174503982067108,0.5242453217506409,0.6477685570716858,0.4832669496536255,0.0005
0.22944287955760956,0.5312864184379578,0.6626138687133789,0.47225522994995117,0.0005
0.21891438961029053,0.5392687320709229,0.6746697425842285,0.4814940392971039,0.0005
0.18480271100997925,0.5606750845909119,0.6416284441947937,0.4740985929965973,0.00025
0.16353604197502136,0.5724818110466003,0.647212028503418,0.46938884258270264,0.00025
0.1568681299686432,0.5817905068397522,0.6421499848365784,0.48432454466819763,0.00025
0.1544216424226761,0.5902768969535828,0.6612578630447388,0.4793681800365448,0.00025
0.1520264595746994,0.5975013971328735,0.6550357341766357,0.47721555829048157,0.00025
0.14826740324497223,0.6060214638710022,0.6407067775726318,0.47422102093696594,0.00025
0.14509713649749756,0.6136818528175354,0.6594663262367249,0.471182644367218,0.00025
0.14185704290866852,0.6207199692726135,0.6451057195663452,0.47184839844703674,0.00025
0.13096366822719574,0.6381924152374268,0.6560490727424622,0.4706663489341736,0.000125
0.12239852547645569,0.6474360227584839,0.6623823046684265,0.4599030315876007,0.000125
0.11968480050563812,0.6540557146072388,0.6611565947532654,0.46551260352134705,0.000125
0.11746817827224731,0.6609268188476562,0.6656549572944641,0.4606926739215851,0.000125
